"escola","tipo","uf","medalha_count"
"ESCOLA ESTADUAL SÃO JOSÉ","E","RR","4"
"PENTAGONO COLEGIO UNIDADE ALPHAVILLE","P","SP","4"
"EE PROF VICENTE LOPES PEREZ","E","MG","4"
"IFRJ - CAMPUS SAO GONÇALO","F","RJ","4"
"NELSON FERNANDES","E","SP","4"
"CEIT LEONEL DE MOURA BRIZOLA","M","SC","4"
"EE PAULO PINHEIRO DA SILVA","E","MG","4"
"EE CEL JOSE ILDEFONSO","E","MG","4"
"IFRN - CAMPUS AVANÇADO DE PARNAMIRIM","F","RN","4"
"E.M. FRANCIS HIME","M","RJ","4"
"ESC MUN PROFª ZULMA DO ROSARIO MIRANDA","M","SC","4"
"INSTITUTO EDUCACIONAL EMMANUEL DA IEC","C","GO","4"
"ESC MUN ENS FUN AGUAS BRANCAS","M","RS","4"
"DALILA GALLI PROFA EMEB","M","SP","4"
"EEEFM PROF SANTOS PINTO","E","ES","4"
"JACYRA VIEIRA BARACHO PROFA EMEF","M","SP","4"
"EB MUN IMIGRANTES","M","SC","4"
"CENTRO DE EXCELENCIA MUNICIPAL - ESCOLA DE APLICAÇÃO DOM JOAO JOSE MOTA ALBUQUERQUE","M","PE","4"
"CEFETMG - CAMPUS TIMOTEO","F","MG","4"
"EEB DEODORO","E","SC","4"
"ESCOLA ESTADUAL CORONEL PEDRO CAMARA","E","AM","4"
"EE JOSE BONIFACIO","E","MG","4"
"IFRO - CAMPUS JI-PARANA","F","RO","4"
"CENTRO MUNICIPAL DE EDUCAÇÃO BÁSICA PROFº LUIZ ALBERTO LEÃO","M","GO","4"
"ESCOLA MUNICIPAL ANNE FRANK","M","TO","4"
"EMEIEF JORGE DA CUNHA CARNEIRO","M","SC","4"
"FIEB - PROFA MARIA THEODORA PEDREIRA DE FREITAS - UNIDADE ALPHAVILLE","M","SP","4"
"ESC EST COELHO NETO","E","AP","3"
"COLEGIO MARISTA SAO FRANCISCO","P","SC","3"
"INST FED DE EDUC CIÊNCIA E TECNOLOGIA DA BAHIA - IFBA","F","BA","3"
"INSTITUTO FEDERAL DE SAO PAULO CAMPUS - CATANDUVA","F","SP","3"
"EE COMENDADOR NASCIMENTO N LEAL","E","MG","3"
"EM MARIA SIQUEIRA FONSECA","M","MG","3"
"EMEB PROF HEBE DE ALMEIDA LEITE CARDOSO","M","SP","3"
"AUGUSTO CASTANHO EM","M","SP","3"
"IFPE - CAMPUS CARUARU","F","PE","3"
"ESC EST INTEGRAL DRº LUIZ RITTLER BRITO DE LUCENA","E","RR","3"
"ESC MUN ENS FUN PRINCESA ISABEL","M","RS","3"
"EE ASSIS RESENDE","E","MG","3"
"IFRN - CAMPUS MOSSORO","F","RN","3"
"EE DESEMBARGADOR CANEDO","E","MG","3"
"EE HAUY PETRUCELI MAYRINK","E","MG","3"
"JOAO NEGRAO JR, C E - E FUND MEDIO","E","PR","3"
"COLÉGIO ESTADUAL DOMINGOS DE OLIVEIRA","E","GO","3"
"IFRJ DE QUIMICA DO MARACANA","F","RJ","3"
"NOVA ODESSA ETEC DE","E","SP","3"
"MARTIN LUTHER KING-ETE","E","SP","3"
"ESCOLA PARQUE","P","RJ","3"
"EEEFM CARLOS DRUMOND DE ANDRADE","E","RO","3"
"EEEP MARIA CAVALCANTE COSTA","E","CE","3"
"EEB SAO TARCISIO","E","SC","3"
"EB MUN DOUTOR HERCILIO MALINOWSKY","M","SC","3"
"IFSC - CAMPUS CRICIUMA","F","SC","3"
"IFSP - CAMPUS CUBATÃO","F","SP","3"
"POL MILITAR DO PARANA 2 C EF M","E","PR","3"
"COLEGIO MARISTA NOSSA SENHORA DA PENHA","P","ES","3"
"EE STO AGOSTINHO","E","MG","3"
"CETI INÊS MARIA DE SOUSA ROCHA","E","PI","3"
"EEB CARDEAL ARCOVERDE","E","SC","3"
"EMEF ANA ARAUJO","M","ES","3"
"EE SEN BUENO DE PAIVA","E","MG","3"
"AFONSO CAFARO","E","SP","3"
"MARILIS F.PIROTELLI, COL EST-E FUND MED","E","PR","3"
"INSTITUTO FEDERAL FARROUPILHA - CAMPUS FREDERICO WESTPHALEN","F","RS","3"
"E M E I F SANTA LUZIA","M","PA","3"
"EB MUN DOM BOSCO","M","SC","3"
"ESC EST ENS MED JOSE DE QUADROS","E","RS","3"
"EE PROF BIOLKINO DE ANDRADE","E","MG","3"
"ESCOLA ESTADUAL N SRA DA CONCEIÇÃO","E","AL","3"
"ESCOLA DE EDUCACAO BASICA DA UFU","F","MG","3"
"ESC EST PROF MARIA DE NAZARE R DA SILVA","E","AP","3"
"E M E F SAO FRANCISCO","M","PA","3"
"SISTEMA ELITE DE ENSINO","P","RJ","3"
"EDMUR NEVES PROF","E","SP","3"
"ESC EST ENS MEDIO SAO RAFAEL","E","RS","3"
"ANGELO SCARABUCCI","E","SP","3"
"INSTITUTO FEDERAL DO SUDESTE DE MINAS GERAIS - CAMPUS BARBACENA","F","MG","3"
"EE DR BENEDITO LEITE RIBEIRO","E","MG","3"
"EE TIRADENTES","E","MG","3"
"EE REYNALDO MASSI","E","MS","3"
"EMILIO DE MENEZES, E E - E FUND","E","PR","3"
"INSTITUTO FEDERAL DE SAO PAULO CAMPUS - VOTUPORANGA","F","SP","3"
"AGNES LIEDTKE","E","SP","3"
"EE OLIMPIO CATÃO","E","SP","3"
"ASSOCIACAO EDUCACIONAL LUTERANA BOM JESUS-IELUSC","P","SC","3"
"COLEGIO SALESIANO ITAJAI","P","SC","3"
"EE MAJ JOAO PEREIRA","E","MG","3"
"INSTITUTO FEDERAL CATARINENSE CAMPUS AVANCADO BLUMENAU","F","SC","3"
"COLEGIO SANTO AGOSTINHO - NL","P","RJ","3"
"CENTRO EDUCACIONAL ADALBERTO VALLE - UNIDADE I","P","AM","3"
"QUINTO COLÉGIO DA POLÍCIA MILITAR DO PARANÁ","E","PR","3"
"IFPB - CAMPUS PATOS","F","PB","3"
"VICENTE RIJO,C E-ENS FUND,MEDIO E PROFIS","E","PR","3"
"CEF 15 DE TAGUATINGA","E","DF","3"
"EE DR LUIZ PINTO DE ALMEIDA","E","MG","3"
"MANOEL SILVEIRA BUENO","E","SP","3"
"EE PE LUIZ MORENO","E","MG","3"
"EM NILZA DE LIMA SALES","M","MG","3"
"CENTRO INTEGRADO DE EDUCACAO MODELO CIEM","E","GO","3"
"ESC MUN ENS FUN OSCAR BERTHOLDO","M","RS","3"
"COLEGIO 17 DE AGOSTO","P","PE","3"
"MALBA THEREZA FERRAZ CAMPANER PROFA","E","SP","3"
"DEZ DE MAIO, ESC EST DE - ENS FUND","E","PR","3"
